喧喧囂囂;けんけんごうごう;"/(adj-no,adj-t,adv-to,n) wild uproar/clamor of voices/tumult; pandemonium of noise/many people clamorously pronouncing diverse opinions/"
侃侃諤諤;かんかんがくがく;/(adj-no,adj-t,adv-to) outspoken/arguing heatedly what one believes in/insisting on something without restraint/
縷縷綿綿;るるめんめん;/(adj-t,adv-to) going on and on in tedious detail/
唯唯諾諾;いいだくだく;"/(adj-t,adv-to) (obeying/following) tamely/readily; submissively/with acquiescence/"
泰然自若;たいぜんじじゃく;/(adj-t,adv-to) presence of mind/imperturbability/calm and self-possessed/with serenity/
三三五五;さんさんごご;/(adv) in groups of twos and threes/in small groups/
悪因悪果;あくいんあっか;/(exp,n) sowing and reaping evil/An evil cause produces an evil effect./
一刻千金;いっこくせんきん;/(exp,n) very valuable time/Every moment is precious./Time is money./
全知全能;ぜんちぜんのう;/(n) omniscience and omnipotence/
無為無能;むいむのう;/(n,adj-na) idle and incompetent/accomplishing nothing significant nor being capable of doing so/lacking the talent to do anything but idle away one's time/
良知良能;りょうちりょうのう;/(n) one's innate intelligence and ability/
一子相伝;いっしそうでん;/(n) transmission of the secrets of an art, craft, trade or learning from father to only one child/
絶体絶命;ぜったいぜつめい;/(n) desperate situation/the last extremity/being driven into a corner/having one's back against the wall/
生殺与奪;せいさつよだつ;/(n) wielding absolute power (over)/the power to spare or to take the lives and property of the people/
一殺多生;いっせつたしょう;/(n) It is justifiable to kill one (harmful) person to save the lives of many/
得手勝手;えてかって;/(n,adj-na) selfish/self-centered/self-willed/(doing or saying things) just to suit oneself/
三面六臂;さんめんろっぴ;/(n) being competent and active in many fields/versatile/one person doing the work of many/
一擲千金;いってきせんきん;/(n) being lavish with one's money/spending a huge sum of money at once on a treat/
一心同体;いっしんどうたい;/(n) being one in body and soul/of one flesh/two hearts beating as one/
言行一致;げんこういっち;"/(n) consistency of speech and action/acting up to one's words; practicing what one preaches/"
一気呵成;いっきかせい;"/(n) (finishing/writing) work at a stroke (stretch)/dashing off; knocking off/"
鬼面仏心;きめんぶっしん;/(n) having the face of a devil and the heart of Buddha/having a stern face but a tender heart/
渾然一体;こんぜんいったい;/(n) individual units blending into a uniform whole/separate units forming a harmonious whole/in complete harmony/
一世一代;いっせいちだい;/(n) (isseichidai/isseiichidai)once in a lifetime/the first and last occurrence (event, experience) of one's lifetime/
一攫千金;いっかくせんきん;/(n) making a fortune at a stroke/getting rich quick without much effort/
速戦即決;そくせんそっけつ;/(n) quick battle for a quick victory/all-out surprise attack/a blitzkrieg/
落花狼藉;らっかろうぜき;"/(n) running amuck/utter disorder/things being in a shambles; committing violence on (a woman)/"
乾坤一擲;けんこんいってき;/(n) staking all (on)/playing for all or nothing/risking everything on one throw of the dice/
三位一体;さんみいったい;/(n) the Holy Trinity/a unity of three different elements/
祭政一致;さいせいいっち;/(n) unity of church and state/government of a country by religious leaders/theocracy/
精励恪勤;せいれいかっきん;/(n,vs) assiduousness/diligence and industry/attending diligently to one's study or duties/
切磋琢磨;せっさたくま;"/(n,vs) cultivate one's mind (character) by studying hard; indefatigable assiduity/improve together through friendly rivalry/"
切歯扼腕;せっしやくわん;/(n,vs) grind one's teeth and clenching one's fists in anger (regret, disappointment)/feel (be) deeply chagrined (at)/
一家団欒;いっかだんらん;/(n,vs) happy family circle/sitting in a family circle and enjoying conversation/harmony in a family/
即断即決;そくだんそっけつ;/(n,vs) prompt decision and prompt execution/make swift decisions and take quick actions/
大声疾呼;たいせいしっこ;/(n,vs) shout with a loud voice/fulminate/vociferate/
横行闊歩;おうこうかっぽ;"/(n,vs) swaggering walk/stalking about with a haughty air; roaming at will/walking around (the place) as if one owned it/"
一得一失;いっとくいっしつ;/(n) gaining some and losing some/(something having its) advantages and disadvantages/merits and demerits/
一問一答;いちもんいっとう;/(n,vs) series of questions and answers/question-and-answer session/
櫛風沐雨;しっぷうもくう;/(n) struggling through wind and rain/undergoing hardships/
疾風迅雷;しっぷうじんらい;/(n) with lightning speed/like a whirlwind/
一知半解;いっちはんかい;/(n) superficial knowledge/half knowledge/
月下氷人;げっかひょうじん;/(n) go-between/matchmaker/
一心不乱;いっしんふらん;/(n,adj-na) intently/with heart and soul/with undivided attention/with intense concentration/
一宿一飯;いっしゅくいっぱん;/(n) a night's lodging and a meal/(being beholden to someone for the favor of) a night's lodging and a meal/
自由闊達;じゆうかったつ;/(n,adj-na) free and easy/open and natural/liberal and broad-minded/not fastidious/
一喜一憂;いっきいちゆう;"/(n,vs) now rejoicing, now worrying/swinging from joy to sorrow; alternate hope and fear/"
一生懸命;いっしょうけんめい;"/(adj-na,n-adv,n) very hard/with utmost effort/for dear life; frantically/"
一笑千金;いっしょうせんきん;/(exp,n) A smile of a beautiful woman is worth a thousand pieces of gold./enchanting smile of a glamorous woman/
六根清浄;ろっこんしょうじょう;/(n) purification of the six roots of perception/purification of one's mind and body through emancipation from all worldly desires and worries/
如是我聞;にょぜがもん;/(exp,n) Thus I hear/These ears have heard (quote from the sutras)/
隔靴掻痒;かっかそうよう;"/(n) trying to soothe an itchy foot by scratching at one's boot; being somewhat annoyed because something is not quite as one hopes/"
妄言多謝;もうげんたしゃ;/(exp) (mougentasha/bougentasha)Kindly excuse my reckless remarks./Please excuse my thoughtless words. (used deferentially, in a letter, etc.)/
善因善果;ぜんいんぜんか;/(exp,n) good action leading to good rewards/As you sow, so shall you reap./
寸善尺魔;すんぜんしゃくま;/(exp,n) little good and much evil/In evil, there is odds/Evil far outnumbers good in this world./A good thing tends to be spoiled by many bad things./
色即是空;しきそくぜくう;/(exp,n) Matter is void/All is vanity./
孟母三遷;もうぼさんせん;/(exp,n) the importance of creating an environment conducive to a child's learning (From the legend that Mencius' mother moved house three times before finding the ideal environment for him)/
空即是色;くうそくぜしき;/(exp,n) Voidness is form./What appears empty is form itself. (A Buddhist teaching)/
深山幽谷;しんざんゆうこく;/(n) remote mountains and deep valleys/deep mountains and dark valleys/
瓜田李下;かでんりか;/(exp,n) Be careful not to invite the least suspicion/Leave no room for scandal./
以心伝心;いしんでんしん;"/(n-adv,n) without any need for words/tacit understanding; communion of mind with mind/through sympathy/telepathy/"
責任転嫁;せきにんてんか;/(n,vs) shifting the responsibility (for something) on to (someone)/buck-passing/
放蕩無頼;ほうとうぶらい;/(n,adj-no) being dissolute and unruly/ruining oneself by leading a fast life/
春風駘蕩;しゅんぷうたいとう;/(adj-no,adj-t,adv-to) balmy spring breeze/warm and genial spring weather/genial and pleasant (personality)/
残忍酷薄;ざんにんこくはく;/(n,adj-na) atrocious and cold-blooded/cruel/brutal/merciless/
堅忍不抜;けんにんふばつ;/(n) indomitable perseverance/invincible fortitude/
隠忍自重;いんにんじちょう;/(n,vs) (behaving with) patience and prudence/putting up with something/
春日遅遅;しゅんじつちち;/(n) a spring day being long and balmy； serene spring day/
格物致知;かくぶつちち;/(n) deepening one's wisdom by gaining a thorough knowledge of natural laws/
空前絶後;くうぜんぜつご;/(n) (so marvelous or horrible that it may be) the first and probably the last/unprecedented/the greatest of all time/
随喜渇仰;ずいきかつごう;/(n,vs) worship with adoration/admire ardently/
甲論乙駁;こうろんおつばく;/(n,vs) arguments pro and con/arguing for and against (something) with no resolution in sight/
泡沫夢幻;ほうまつむげん;/(n) transient/ephemeral/fleeting/evanescent/
事実無根;じじつむこん;/(n) groundless/unfounded/entirely contrary to fact/
純一無雑;じゅんいつむざつ;/(n,adj-na,adj-no) pure and unadulterated/pure in heart/simplehearted/
呉越同舟;ごえつどうしゅう;"/(n) bitter enemies stuck together in the same boat by chance; antagonists joining together for a common purpose/"
阿諛追従;あゆついしょう;/(n,vs) excessive flattery/adulation/
一朝一夕;いっちょういっせき;/(n) in a day/in a brief space of time/
樽俎折衝;そんそせっしょう;/(n) diplomatic negotiations at the dinner table/diplomatic bargaining/
我田引水;がでんいんすい;"/(n) seeking (promoting) one's own interests/being self-serving; straining (the interpretation or argument) to suit one's own interests/"
朝朝暮暮;ちょうちょうぼぼ;/(adv) every morning and evening/
縦横無尽;じゅうおうむじん;"/(n,adj-na) freely/right and left/active without any restraint; with unrestricted energy in all directions/"
衆議一決;しゅうぎいっけつ;/(n,vs) reaching a conclusion unanimously or by consensus/
朝令暮改;ちょうれいぼかい;/(n) a frequent change of regulations/(orders or laws) being revised often with no guiding principles/unsettled course of action/
朝雲暮雨;ちょううんぼう;/(n) a sexual liaison/
朝三暮四;ちょうさんぼし;"/(n) being preoccupied with immediate (superficial) differences without realizing that there are no differences in substance; swindle (someone) with trickery/"
勧善懲悪;かんぜんちょうあく;/(n) rewarding good and punishing evil/poetic justice/didactic theme in a novel or drama/
道聴塗説;どうちょうとせつ;/(n) shallow-minded mouthing of secondhand information/
念仏三昧;ねんぶつざんまい;/(n) being deep in (Buddhist) prayer/praying devoutly to Amida Buddha/
一念発起;いちねんほっき;/(n,vs) (firmly) resolved to (do something)/
頑固一徹;がんこいってつ;/(n,adj-na) stubborn/obstinate/adamantly sticking to one's views or decisions/
無念無想;むねんむそう;/(n,adj-no) being free from all distracting thoughts/keeping one's mind clear of all worldly thoughts/being free from all ideas and thoughts/
大同団結;だいどうだんけつ;/(n,vs) uniting for a common cause ignoring minor differences/
鶏鳴狗盗;けいめいくとう;/(n) person who resorts to petty tricks/person of small caliber who is only capable of petty tricks/
跳梁跋扈;ちょうりょうばっこ;/(n,vs) evildoers being rampant and roaming at will/
一石二鳥;いっせきにちょう;/(n) killing two birds with one stone/
謹厳実直;きんげんじっちょく;/(n,adj-na) very discreet, sincere, and honest/sober and upright/
一長一短;いっちょういったん;/(n) (something having its) merits and demerits/advantages and disadvantages/strong and weak points/
採長補短;さいちょうほたん;/(n,vs) compensating for one's shortcomings by incorporating others' strong points/
有頂天外;うちょうてんがい;/(n) beside oneself with joy/in raptures/in an ecstasy of delight/
白砂青松;はくしゃせいしょう;/(n) (hakushaseishou/hakusaseishou)white sands and green pine grove/a beautiful stretch of sandy beach dotted with pine trees/
残酷非道;ざんこくひどう;/(n,adj-na) inhumanity/atrocity/abominable cruelty/
飛耳長目;ひじちょうもく;/(n) sharp eyes and ears used for collecting information far and wide/having the acumen and shrewd discernment gained by widely-collected information with sharp eyes and ebeing well-versed on a subject/being well-versed on a subject/books which broaden our knowledge/
理非曲直;りひきょくちょく;"/(n) sense of right and wrong/rights and wrongs (of a case); relative merits (of a case)/"
不老長寿;ふろうちょうじゅ;/(n) perpetual youth and longevity/
意味深長;いみしんちょう;/(n,adj-na) with profound (often hidden) meaning/being suggestive/pregnant with significance/
花鳥風月;かちょうふうげつ;/(n) the beauties of nature/
眼高手低;がんこうしゅてい;/(n) able to criticize but not to create/high critical but low creative ability/
無茶苦茶;むちゃくちゃ;"/(n,adj-na) (1) absurd/unreasonable/nonsensical/preposterous; incoherent/(2) extreme/senseless/reckless/wanton/(3) disorder/confusion/mess/wreck/"
悪逆無道;あくぎゃくむどう;"/(n,adj-na) (akugyakumudou/akugyakubudou)heinous/treacherous/atrocious/diabolic/fiendish; inhuman/"
厚顔無恥;こうがんむち;/(n,adj-na) brazen and shameless/unscrupulous/
剛毅果断;ごうきかだん;/(n,adj-na) dauntless and decisive/with fortitude and resolution/
自暴自棄;じぼうじき;/(n,adj-na) desperation/despair/self-abandonment/disgust with life/
無味乾燥;むみかんそう;/(n,adj-na) dull and uninteresting/dry-as-dust/flat and insipid/humdrum/
公明正大;こうめいせいだい;/(n,adj-na) fair and aboveboard/open and honest/
慇懃無礼;いんぎんぶれい;/(n,adj-na) feigned politeness/disguised insult/rude under a veneer of politeness/
大逆無道;たいぎゃくむどう;"/(n,adj-na) heinous/treacherous/atrocious/diabolic/fiendish; inhuman/"
効果覿面;こうかてきめん;/(n,adj-na) immediately effective/bring an immediate result (on)/have an instant effect (on)/
傍若無人;ぼうじゃくぶじん;"/(n,adj-na) insolent/outrageous/audacious/arrogant/impudent; overbearing/following one's way in defiance of others/"
気宇壮大;きうそうだい;/(n,adj-na) magnanimous in one's attitude of mind/grand in one's idea or mind-set/
頑迷固陋;がんめいころう;/(n,adj-na) obstinate/stubborn/hard-headed/being incapable of making sound judgments because of a narrow, inflexible and obstinate mentality/
狷介固陋;けんかいころう;/(n,adj-na) stubbornly sticking to old ways/narrow-mindedly rejecting other people's views/
夜郎自大;やろうじだい;/(n,adj-na) throwing one's weight around in a small group without knowing one's real worth in a larger world outsacting arrogantly with no realization of one's own limitations/acting arrogantly with no realization of one's own limitations/
多事多難;たじたなん;/(n,adj-na) troubled/turbulent/having a lot going on in ones' life/suffering one hardship after another/
無知蒙昧;むちもうまい;/(n,adj-na) unenlightened/in the darkest ignorance/not knowing from A to B/
有耶無耶;うやむや;"/(n,adj-na) vague/hazy/noncommittal/indefinite/ambiguous; evasive/inconclusive/"
奇奇怪怪;ききかいかい;/(n,adj-na) very strange/bizarre/weird/mysterious/
前代未聞;ぜんだいみもん;"/(n,adj-no) unheard-of/unprecedented/unparalleled in history; record-breaking/"
新進気鋭;しんしんきえい;/(n,adj-no) young and energetic/up-and-coming/high-spirited and rising/
誠心誠意;せいしんせいい;/(n,adv) in all sincerity/with one's whole heart/whole-hearted devotion/
再三再四;さいさんさいし;/(n,adv) repeatedly/over and over again/again and again/
一意専心;いちいせんしん;/(n-adv) single-mindedly/wholeheartedly/with one's heart and soul/
泰山北斗;たいざんほくと;/(n) a great authority/a leading authority in a field/a luminary/
門前雀羅;もんぜんじゃくら;/(n) (a house) looking deserted with few visitors/
時代錯誤;じだいさくご;/(n) anachronism/
治乱興亡;ちらんこうぼう;/(n) a nation's times of peace and war/a nation in its rise and fall/
空理空論;くうりくうろん;/(n) an impractical (empty) theory/vain speculation/unrealistic and useless arguments/
蛙鳴蝉噪;あめいせんそう;/(n) annoying noise/fruitless argument/useless controversy/
寛仁大度;かんじんたいど;/(n) being generous and magnanimous in disposition/
一衣帯水;いちいたいすい;/(n) (being separated by) a narrow strip of water/a narrow strait (channel, river)/
四面楚歌;しめんそか;/(n) being surrounded by enemies on all sides/being betrayed (forsaken) by everybody/
偕老同穴;かいろうどうけつ;/(n) being united as man and wife for life/happy life partnership/
冷汗三斗;れいかんさんと;/(n) breaking into cold sweat when one is very embarrassed or scared/feeling extremely abashed/
桜花爛漫;おうからんまん;/(n) cherry blossoms in full bloom/riot of cherry blossoms/
二者択一;にしゃたくいつ;/(n) choice of one or the other/choice between (only) two things/choice of two alternatives/
全身全霊;ぜんしんぜんれい;/(n) complete devotion/body and soul/one's level best/
南船北馬;なんせんほくば;/(n) constant traveling/being constantly busy traveling all over/
相思相愛;そうしそうあい;/(n) deeply in love with each other/strongly attached to each other/mutual infatuation/
二束三文;にそくさんもん;/(n) dirt cheap/dime a dozen/give-away prices/el cheapo/
高論卓説;こうろんたくせつ;/(n) excellent opinion/brilliant exposition/outstanding argument/insightful view/
経世済民;けいせいさいみん;/(n) governing a nation and providing relief to people/
満身創痍;まんしんそうい;/(n) having wounds all over one's body/being covered with cuts and bruises/
延命息災;えんめいそくさい;/(n) health and longevity/enjoying a long and healthy life being untouched by disaster/
大義名分;たいぎめいぶん;/(n) higher principle/just cause/legitimate reason/clear justification (for an action)/
人海戦術;じんかいせんじゅつ;/(n) human-wave tactics/the strategy of throwing large numbers of troops into an attack/throwing (overwhelming) human resources at a problem/
冠婚葬祭;かんこんそうさい;/(n) important ceremonial occasions in family relationships/the ceremonies of coming-of-age, marriage, funeral, and ancestor worship/
神算鬼謀;しんさんきぼう;/(n) inscrutable stratagem/ingenious scheme/
贅沢三昧;ぜいたくざんまい;"/(n) luxury and extravagance/indulging in every possible luxury; living in the lap of luxury/"
単刀直入;たんとうちょくにゅう;/(n,adj-na) going right to the point/point-blank/without beating about the bush/
旗幟鮮明;きしせんめい;/(n) making one's attitude (position, stand) clear/taking a definite stance (Literally: unfurling and clearly showing one's banner)/
粗製濫造;そせいらんぞう;/(n) mass production of inferior goods/
単純明快;たんじゅんめいかい;"/(n,adj-na) simple and clear-cut/plain and simple; open-and-shut/straightforward/"
一期一会;いちごいちえ;"/(n) once-in-a-lifetime experience (opportunity, encounter); experience that will never come again/"
一諾千金;いちだくせんきん;/(n) one's word is worth a thousand pieces of gold/a promise that is worth its weight in gold/
四海兄弟;しかいけいてい;/(n) people in the whole world being all brothers/universal brotherhood (fraternity)/
聖人君子;せいじんくんし;/(n) person of lofty virtue/man of noble character/perfect person/saint/
一言居士;いちげんこじ;/(n) person who is ready to comment on every subject/ready critic/person who always has to put in his two cents (worth)/
外題学問;げだいがくもん;/(n) putting on a knowing air when one only knows the title of the book (play, etc.)/pretending to understand the nature of something when one only knows its name/
乱臣賊子;らんしんぞくし;/(n) rebels against one's lord and one's parents/rebellious (treacherous) subject/traitor/
三寒四温;さんかんしおん;/(n) repeated pattern of a few cold days followed by a few warm ones (marking the coming of spring)/
因果応報;いんがおうほう;/(n) retributive justice/poetic justice/reward and punishment for one's past behavior/
起死回生;きしかいせい;"/(n) revival of the dead/recovering from a hopeless situation; pulling something back from the brink of defeat (failure)/"
草根木皮;そうこんぼくひ;/(n) roots of herbs and barks of trees used in Chinese medicine/
無事息災;ぶじそくさい;/(n) safe and healthy/(living a) peaceful and healthy life/
山紫水明;さんしすいめい;/(n) scenic beauty of mountains and streams/fresh and clear beauty of nature's splendor/
手前味噌;てまえみそ;/(n) self-flattery/singing one's own praises/tooting one's own horn/
名論卓説;めいろんたくせつ;/(n) sound and well-argued thesis/excellent opinions and theories/original opinion worth listening to/
明眸皓歯;めいぼうこうし;/(n) starry eyes and beautiful white teeth (said of beautiful women)/a beautiful woman with bright eyes and pearly teeth/
酒池肉林;しゅちにくりん;/(n) sumptuous feast (banquet)/
大安吉日;たいあんきちじつ;/(n) (taiankichijitsu/taiankichinichi)very auspicious day for all types of occasions (one of the six special days in the Japanese lunisolar calendar/
千載一遇;せんざいいちぐう;/(n) (the chance) of a lifetime/(a golden opportunity that) may happen only once in a thousand years/
晴好雨奇;せいこううき;/(n) the scenery being beautiful in both sunny and rainy weather/
砲煙弾雨;ほうえんだんう;/(n) the smoke of cannon and a hail of bullets/(in) the thick of battle/
三千世界;さんぜんせかい;/(n) the whole wide world/the great universe (of one billion worlds) that Buddha enlightened/
二人三脚;ににんさんきゃく;/(n) three-legged race/cooperation between the two with singleness of purpose/
艱難辛苦;かんなんしんく;/(n) trials and tribulations/adversities/suffering hardships and troubles/
合縁奇縁;あいえんきえん;/(n) uncanny relationship formed by a quirk of fate/a couple strangely but happily united/
無理難題;むりなんだい;"/(n) unreasonable (impossible) demand/asking the impossible; tall order/"
栄枯盛衰;えいこせいすい;/(n) ups and downs of life (of a person, family, nation)/rise and fall/vicissitudes of fortune/
独断専行;どくだんせんこう;/(n,vs) acting arbitrarily on one's own authority/arbitrary decision and execution/
茫然自失;ぼうぜんじしつ;/(n,vs) becoming stupefied (stunned, petrified)/being dumbfounded/trance/stupor/standing aghast/
狐疑逡巡;こぎしゅんじゅん;/(n,vs) be in doubt and unable to decide/hesitation and indecision/
土崩瓦解;どほうがかい;/(n,vs) complete collapse/(something) going to pieces (breaking up beyond repair)/
鼓舞激励;こぶげきれい;/(n,vs) inspire and encourage (someone)/put (someone) on his mettle/
肉食妻帯;にくじきさいたい;/(n,vs) meat-eating and marriage/Buddhist priest eating meat dishes and being married/
右往左往;うおうさおう;/(n,vs) moving about in confusion/going every which way/going right and left/
漫言放語;まんげんほうご;/(n,vs) saying whatever one feels/speaking at random/making careless remarks/rambling talk/
四分五裂;しぶんごれつ;/(n,vs) (shibungoretsu/shibugoretsu)be torn asunder/be disrupted and disorganized/
遅疑逡巡;ちぎしゅんじゅん;/(n,vs) shilly-shally/hesitation/indecision/vacillation/
苦心惨憺;くしんさんたん;/(n,vs) taking great pains/making strenuous efforts/going to all the trouble/
晴耕雨読;せいこううどく;/(n,vs) working in the field in fine weather and reading at home in rainy weather/living in quiet retirement dividing time between work and intellectual pursuits/
和光同塵;わこうどうじん;/(n) (wise men) softening the light of their wisdom and virtue and mingling with the mundane world (Lao-tzmingling with the world by hiding one's true talent or knowledge/mingling with the world by hiding one's true talent or knowledge/living a quiet life by effacing oneself/
四通八達;しつうはったつ;/(n,vs) traffic network extending in all directions/accessible from all directions/
危機一髪;ききいっぱつ;/(n) coming within a hair's breath of danger/by the skin of one's teeth/in the nick of time/touch and go/a close call/
一触即発;いっしょくそくはつ;/(n) critical (touch and go) situation/explosive (hair-trigger) situation/flash point/
安寧秩序;あんねいちつじょ;/(n) peace and order/law and order/
才気煥発;さいきかんぱつ;/(n,adj-na) resourceful and quick-witted/showing a flash of brilliance/have a keen (sparkling) intellect/
一網打尽;いちもうだじん;/(n) big haul/wholesale arrest/catching (the whole lot) with one cast of the net/
官尊民卑;かんそんみんぴ;/(n) respecting the authorities and denigrating ordinary citizens/putting government officials above the people/
和魂漢才;わこんかんさい;/(n) the Japanese spirit imbued with Chinese learning/
一読三嘆;いちどくさんたん;/(n,vs) a reading leaves one with ceaseless sighs of admiration/
焦心苦慮;しょうしんくりょ;/(n,vs) worry (trouble) oneself (about)/be anxious (about)/
和魂洋才;わこんようさい;/(n) the Japanese spirit imbued with Western learning/
八面玲瓏;はちめんれいろう;"/(adj-na,adj-no,adj-t,adv-to,n) serene/equable/affable; graceful in all aspects/looking clear and bright when viewed from any angle/"
永字八法;えいじはっぽう;/(n) the eight basic brush strokes in writing Chinese characters/
八紘一宇;はっこういちう;/(n) (the spirit of) universal brotherhood/all eight corners of the world under one roof/
四苦八苦;しくはっく;/(n,vs) be in dire distress/have a real struggle/
八方美人;はっぽうびじん;/(n) woman who looks beautiful from all angles/one who tries to be all things to all people/one who tries to please everybody/
岡目八目;おかめはちもく;/(exp,n) a bystander's vantage point/an outsider's better grasp of the situation/Onlookers see more of the game than the players do./
美酒佳肴;びしゅかこう;/(n) fine wines and prized delicacies/
百発百中;ひゃっぱつひゃくちゅう;"/(n) always hitting the bull's-eye/never missing one's aim; (predictions or plans) always turning out as expected/be on target every time/"
握髪吐哺;あくはつとほ;/(n) (a statesman making) extraordinary efforts to find and employ capable persons (persons of great wisdom)/
談論風発;だんろんふうはつ;/(n,vs) spirited discussion/carrying on an animated conversation/
唯我独尊;ゆいがどくそん;"/(exp,n) (1) ""I am my own Lord (throughout heaven and earth)."" (Buddha)/(2) self-righteousness/self-conceit/holier-than-thou attitude/"
暖衣飽食;だんいほうしょく;/(n) well-fed and warmly-clothed (comfortably-dressed)/being blessed materially/
虚心坦懐;きょしんたんかい;"/(adj-na,adj-no,n) with an open and calm mind/without reserve; with utmost candor/with no preconceived notions/"
無欲恬淡;むよくてんたん;/(adj-na,adj-no,adj-t,adv-to,n) being indifferent to worldly gain/being unattached and free from desires/
古色蒼然;こしょくそうぜん;/(adj-t,adv-to) antique-looking/with the patina of age/hoary with age/
雲泥万里;うんでいばんり;/(n) being poles apart/(there being) all the difference in the world/
形影一如;けいえいいちにょ;/(n) being inseparable as a form and its shadow/a person's deed mirrors the good or evil of his mind/husband and wife being never apart/
一挙一動;いっきょいちどう;/(n) one's every action/every single move/
油断大敵;ゆだんたいてき;/(exp,n) Unpreparedness is one's greatest enemy/He that is too secure is not safe/Overconfidence can be dangerous./
津津浦浦;つつうらうら;/(tsutsuuraura/tsuzuuraura) (n-adv,n) all over the country/throughout the land/every nook and cranny of the land/
明哲保身;めいてつほしん;/(n) wisdom and self-protection/wise and skilled in the art of self-protection/
多事多端;たじたたん;/(n,adj-na) eventful/very busy/pressure of business/
暗雲低迷;あんうんていめい;/(n) dark clouds hanging low/dark clouds gathering ominously (over)/
適者生存;てきしゃせいぞん;/(n) survival of the fittest/
軽挙妄動;けいきょもうどう;/(n,vs) rash and blind act/acting on impulse taking no heed of possible consequences/
徹頭徹尾;てっとうてつび;"/(adv) thoroughly/through and through/from beginning to finish; right down the line/"
適材適所;てきざいてきしょ;/(n) the right person in the right place/assigning the right person to the right position/
粗衣粗食;そいそしょく;/(n) shabby clothes and humble meals/frugal (simple) life/
深謀遠慮;しんぼうえんりょ;/(n) far sight and deep design/a farsighted and deeply-laid plan/
軽薄短小;けいはくたんしょう;/(n,adj-na) light, thin, short, and small (products)/light and compact (products)/
大胆不敵;だいたんふてき;/(n,adj-na) fearless/audacious/daring/resolute/
柳暗花明;りゅうあんかめい;/(n) (1) beautiful scenery of spring/(2) red-light district/
悠悠自適;ゆうゆうじてき;/(n,vs) living a life of leisure with dignity/living quietly and comfortably free from worldly cares/otium cum dignitate/
初志貫徹;しょしかんてつ;/(n,vs) achieving one's original intention/achieving one's desired end(s)/
容姿端麗;ようしたんれい;"/(n,adj-na) attractive face and figure/having a graceful figure; lovely to look-at/beautiful in appearance/fare of face and figure/"
妖怪変化;ようかいへんげ;/(n) apparition (in animal form)/goblins and monsters/
古往今来;こおうこんらい;/(n-adv) through all ages/since remote antiquity/from ancient times to the present/
和気藹藹;わきあいあい;/(wakiaiai) (adj-na,adj-no,adj-t,adv-to) harmonious/peaceful/congenial/
疑心暗鬼;ぎしんあんき;/(exp,n) being beset with doubts and fears/Suspicion will raise bogies/fearful and suspicious frame of mind/
金城鉄壁;きんじょうてっぺき;"/(n) impregnable castle (walls)/impregnable fortress; impregnable defense/"
天衣無縫;てんいむほう;"/(adj-na,adj-no,n) perfect beauty with no trace of artifice; guileless/artless/unaffected/(prose and poetry being) naturally composed with no labored expressions/"
天真爛漫;てんしんらんまん;/(adj-na,adj-t,adv-to,n) simple and innocent/naive and unsophisticated/artless/unaffected/spontaneous/
